,3m,3m_gini
0,0610005C13Rik,4.6311912697748146e-05
1,0610007C21Rik,0.0001360978088670617
2,0610007N19Rik,8.040430332688357e-05
3,0610009B22Rik,6.621347827962222e-05
4,0610009D07Rik,6.028647703134836e-05
5,0610010K14Rik,3.5366150147240466e-05
6,0610010O12Rik,0.00011024696963076496
7,0610011F06Rik,0.0001432089427259308
8,0610011L14Rik,3.0414583659040705e-05
9,0610012G03Rik,7.33814973482966e-05
10,0610012H03Rik,9.133568669157449e-05
11,0610031J06Rik,4.051476646932155e-05
12,0610037P05Rik,2.6211294404805456e-05
13,0910001L09Rik,0.0001242197645946724
14,1110001A16Rik,6.410342062507463e-05
15,1110001J03Rik,7.401014423363249e-05
16,1110003E01Rik,7.666358324758264e-05
17,1110004F10Rik,7.151288446158396e-05
18,1110007C09Rik,9.791054318435023e-05
19,1110008F13Rik,0.00016440113581415932
20,1110017F19Rik,2.9570799629362992e-05
21,1110038F14Rik,4.795674326332872e-05
22,1110065P20Rik,4.9719174557609865e-05
23,1190002H23Rik,2.1261611270634897e-05
24,1200016B10Rik,3.889763574297662e-05
25,1300001I01Rik,3.34694833388171e-05
26,1300010F03Rik,5.950384431873791e-05
27,1500003O03Rik,0.00011915239683259295
28,1500011K16Rik,3.650727316521228e-05
29,1500032L24Rik,8.767123829790068e-05
30,1700011H14Rik,4.259303833811524e-05
31,1700018L02Rik,0.00031544283100698277
32,1700019E19Rik,6.608121278590968e-05
33,1700020O03Rik,2.0557408969231225e-05
34,1700021F05Rik,2.4283847043094805e-05
35,1700081L11Rik,6.523376719522344e-05
36,1700086L19Rik,2.6404097364890323e-05
37,1700123O20Rik,5.330812669146848e-05
38,1810006K21Rik,8.933046049468469e-05
39,1810013D10Rik,4.4829938877518876e-05
40,1810013L24Rik,7.197529815401165e-05
41,1810020D17Rik,3.177974329690847e-05
42,1810022K09Rik,8.536627700124092e-05
43,1810027O10Rik,0.0001994940651020966
44,1810030J14Rik,0.0032413373647519135
45,1810030O07Rik,2.9189941615167163e-05
46,1810031K17Rik,3.1260287595616486e-05
47,1810035L17Rik,0.00017098595945953107
48,1810037I17Rik,0.00015602765943955663
49,1810043H04Rik,4.347418797000194e-05
50,1810046J19Rik,0.00010325428716005075
51,1810046K07Rik,0.00026813675316951204
52,1810058I24Rik,0.00012018576647668686
53,1810063B05Rik,9.316001994622169e-05
54,2010003O02Rik,0.00010245018655516655
55,2010011I20Rik,2.6076597709966667e-05
56,2010106G01Rik,5.548705347254803e-05
57,2010107E04Rik,0.0026096198439281644
58,2010107H07Rik,5.8230974535328435e-05
59,2010111I01Rik,3.200040083358641e-05
60,2200002D01Rik,1.2362745020295481e-05
61,2210010C04Rik,0.0019330089654295542
62,2210016F16Rik,5.781993426076717e-05
63,2210016L21Rik,6.498401127112805e-05
64,2210404O07Rik,8.66908267731039e-05
65,2210411K11Rik,7.714488587021051e-05
66,2210415F13Rik,0.0004867279257252136
67,2300009A05Rik,8.690818625422095e-05
68,2310001A20Rik,5.085835686752885e-05
69,2310003F16Rik,0.00010289892997592944
70,2310008H09Rik,2.9963811752145683e-05
71,2310011J03Rik,7.181864045401885e-06
72,2310016M24Rik,8.860820617188523e-05
73,2310021P13Rik,4.931874228249502e-05
74,2310033P09Rik,3.3405785867195174e-05
75,2310036O22Rik,0.00017688515087437842
76,2310037I24Rik,3.789470369436357e-05
77,2310039H08Rik,6.230046110227909e-05
78,2310044H10Rik,0.00022279726267168212
79,2310045N01Rik,5.517921633797385e-05
80,2310061I04Rik,2.732018616139203e-05
81,2310067B10Rik,5.211088018682983e-05
82,2400001E08Rik,0.00012839253016952855
83,2400003C14Rik,8.185419965974453e-05
84,2410001C21Rik,5.303672632165709e-05
85,2410002O22Rik,4.367869148755525e-05
86,2410006H16Rik,0.0001938797875925274
87,2410015M20Rik,0.00012207319777158282
88,2410017P09Rik,9.01595009013336e-05
89,2410091C18Rik,5.026177520091355e-05
90,2610001J05Rik,6.0291983394549734e-05
91,2610017I09Rik,3.506423087232856e-05
92,2610027L16Rik,0.00011239671723183183
93,2610039C10Rik,4.618963651747426e-05
94,2610101N10Rik,4.4496405695892817e-05
95,2610301G19Rik,3.667727318527442e-05
96,2610507B11Rik,7.316965261689862e-05
97,2610528J11Rik,0.00025256703899259565
98,2700060E02Rik,0.00013372203462246268
